ID,workWithTB,workInPH,Question,Response,profession,phRole,employer,clinician
ID_01,Yes,Yes,Q2Copt1,NA,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q11Bopt1,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q22Aopt1,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q17Aopt5,6,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q13Aopt3,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q8Aopt2,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q8Aopt3,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q8Aopt4,4,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q6Aopt4,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q12Aopt1,4,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q11Aopt1,Yes ; on the same table with the drug susceptibility data,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q23Aopt3,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q19opt1,A (One column),Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q21Aopt4,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q8Aopt1,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q17Aopt6,5,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q13Aopt2,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q21Aopt2,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q20Aopt4,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q7Aopt1,B (Summary),Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q23Aopt1,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q14Aopt1,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q21Aopt1,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q12Aopt2,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q17Aopt4,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q18opt1,A (Summary statement),Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q16Aopt2,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q22Aopt4,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q6Aopt3,4,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q13Aopt1,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q16Aopt1,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q23Aopt2,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q22Aopt2,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q2Copt2,NA,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q11Bopt2,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q17Aopt1,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q17Aopt3,4,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q12Aopt4,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q24Aopt1,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q20Aopt1,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q23Aopt4,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q12Aopt3,2,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q21Aopt3,Agree,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q5Aopt1,A (with bolding),Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q24Aopt4,4,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q15Aopt1,B (Organism name),Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q11Bopt5,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q14Aopt2,1,Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q9Aopt1,Full Name (Ex. isoniazid),Laboratory,Laboratory,Public Health Organization,Non-Physician
ID_01,Yes,Yes,Q17Aopt2,3,Laboratory,Laboratory,Public Health Organization,Non-Physician
